timestamp,x,y,z
243668,1.83,2.29,9.33
243688,1.83,2.29,9.33
243707,1.83,2.29,9.33
243727,1.75,2.21,9.19
243752,1.75,2.21,9.19
243768,1.75,2.21,9.19
243788,1.67,2.34,9.27
243808,1.67,2.34,9.27
243828,1.67,2.34,9.27
243848,1.67,2.34,9.27
243868,1.73,2.48,9.44
243888,1.73,2.48,9.44
243908,1.73,2.48,9.44
243928,1.9,2.45,9.41
243947,1.9,2.45,9.41
243967,1.9,2.45,9.41
243987,1.78,2.45,9.44
244007,1.78,2.45,9.44
244027,1.78,2.45,9.44
244047,1.78,2.45,9.44
244067,1.8,2.4,9.22
244087,1.8,2.4,9.22
244107,1.8,2.4,9.22
244127,1.68,2.32,9.38
244147,1.68,2.32,9.38
244167,1.68,2.32,9.38
244188,1.69,2.27,9.31
244207,1.69,2.27,9.31
244228,1.69,2.27,9.31
244248,1.75,2.15,9.41
244268,1.75,2.15,9.41
244288,1.75,2.15,9.41
244308,1.75,2.15,9.41
244328,1.58,1.98,9.61
244351,1.58,1.98,9.61
244368,1.58,1.98,9.61
244388,1.53,1.98,9.61
244408,1.53,1.98,9.61
244427,1.53,1.98,9.61
244447,1.54,1.98,9.42
244467,1.54,1.98,9.42
244487,1.54,1.98,9.42
244507,1.54,1.98,9.42
244527,1.54,1.82,9.46
244548,1.54,1.82,9.46
244567,1.54,1.82,9.46
244587,1.45,1.81,9.49
244607,1.45,1.81,9.49
244627,1.45,1.81,9.49
244647,1.47,1.85,9.4
244668,1.47,1.85,9.4
244687,1.47,1.85,9.4
244709,1.47,1.85,9.4
244727,1.59,1.66,9.59
244747,1.59,1.66,9.59
244767,1.59,1.66,9.59
244791,1.63,1.76,9.85
244816,1.63,1.76,9.85
244827,1.63,1.76,9.85
244847,1.63,1.76,9.85
244868,1.76,1.63,9.6
244887,1.76,1.63,9.6
244907,1.83,1.56,9.47
244928,1.83,1.56,9.47
244947,1.83,1.56,9.47
244967,1.83,1.56,9.47
244987,1.61,1.69,9.38
245007,1.61,1.69,9.38
245028,1.61,1.69,9.38
245047,1.45,1.56,9.61
245067,1.45,1.56,9.61
245088,1.45,1.56,9.61
245107,1.65,1.37,9.79
245128,1.65,1.37,9.79
245148,1.65,1.37,9.79
245167,1.65,1.37,9.79
245188,1.72,1.44,9.79
245208,1.72,1.44,9.79
245227,1.72,1.44,9.79
245247,1.59,1.52,9.81
245268,1.59,1.52,9.81
245288,1.59,1.52,9.81
245308,1.37,1.79,9.54
245328,1.37,1.79,9.54
245347,1.37,1.79,9.54
245367,1.37,1.79,9.54
245387,1.4,1.77,9.35
245407,1.4,1.77,9.35
245427,1.4,1.77,9.35
245447,1.68,1.8,9.51
245467,1.68,1.8,9.51
245487,1.68,1.8,9.51
245507,1.57,1.69,9.66
245527,1.57,1.69,9.66
245547,1.57,1.69,9.66
245567,1.59,1.64,9.8
245587,1.59,1.64,9.8
245608,1.59,1.64,9.8
245627,1.59,1.64,9.8
245647,1.35,1.67,9.7
245667,1.35,1.67,9.7
245688,1.35,1.67,9.7
245707,1.44,1.65,9.51
245728,1.44,1.65,9.51
245747,1.44,1.65,9.51
245768,1.53,1.68,9.63
245788,1.53,1.68,9.63
245808,1.53,1.68,9.63
245828,1.53,1.68,9.63
245847,1.52,1.69,9.65
245867,1.52,1.69,9.65
245887,1.52,1.69,9.65
245907,1.53,1.66,9.63
245928,1.53,1.66,9.63
245948,1.53,1.66,9.63
245968,1.57,1.63,9.65
245988,1.57,1.63,9.65
246007,1.57,1.63,9.65
246027,1.57,1.63,9.65
246047,1.57,1.58,9.43
246067,1.57,1.58,9.43
246087,1.57,1.58,9.43
246108,1.66,1.52,9.6
246128,1.66,1.52,9.6
246147,1.66,1.52,9.6
246168,1.67,1.27,9.67
246187,1.67,1.27,9.67
246207,1.67,1.27,9.67
246227,1.65,1.31,9.6
246247,1.65,1.31,9.6
246267,1.65,1.31,9.6
246287,1.65,1.31,9.6
246307,1.57,1.25,9.7
246327,1.57,1.25,9.7
246347,1.57,1.25,9.7
246367,1.56,1.23,9.73
246387,1.56,1.23,9.73
246407,1.56,1.23,9.73
246427,1.4,1.28,9.79
246447,1.4,1.28,9.79
246467,1.4,1.28,9.79
246487,1.4,1.28,9.79
246507,1.32,1.37,9.69
246527,1.32,1.37,9.69
246547,1.32,1.37,9.69
246567,1.31,1.29,9.76
246587,1.31,1.29,9.76
246607,1.31,1.29,9.76
246629,1.34,1.26,9.77
246648,1.34,1.26,9.77
246668,1.34,1.26,9.77
246688,1.34,1.26,9.77
246707,1.54,1.37,9.85
246727,1.54,1.37,9.85
246747,1.54,1.37,9.85
246767,1.48,1.42,9.67
246788,1.48,1.42,9.67
246807,1.48,1.42,9.67
246827,1.48,1.59,9.62
246847,1.48,1.59,9.62
246868,1.48,1.59,9.62
246888,1.39,1.61,9.58
246908,1.39,1.61,9.58
246927,1.39,1.61,9.58
246947,1.39,1.61,9.58
246967,1.38,1.54,9.82
246987,1.38,1.54,9.82
247007,1.38,1.54,9.82
247028,1.28,1.63,9.8
247048,1.28,1.63,9.8
247068,1.28,1.63,9.8
247087,1.33,1.62,9.49
247108,1.33,1.62,9.49
247128,1.33,1.62,9.49
247148,1.33,1.62,9.49
247167,1.48,1.71,9.5
247187,1.48,1.71,9.5
247207,1.48,1.71,9.5
247227,1.46,1.55,9.69
247247,1.46,1.55,9.69
247267,1.46,1.55,9.69
247288,1.72,1.5,9.75
