timestamp,GYRO_X,GYRO_Y,GYRO_Z
1427962889090,0.0000000,0.0000000,0.0000000
1427962889490,0.0000000,0.0000000,0.0000000
1427962889889,0.0000000,0.0000000,0.0000000
1427962890292,0.0000000,0.0000000,0.0000000
1427962890689,0.0000000,0.0000000,0.0000000
1427962891089,0.0000000,0.0000000,0.0000000
1427962891490,0.0000000,0.0000000,0.0000000
1427962891915,0.0000000,0.0000000,0.0000000
1427962892290,0.0000000,0.0000000,0.0000000
1427962892691,0.0000000,0.0000000,0.0000000
1427962893090,0.0000000,0.0000000,0.0000000
1427962893490,0.0000000,0.0000000,0.0000000
1427962893912,0.0000000,0.0000000,0.0000000
1427962894290,0.0000000,0.0000000,0.0000000
1427962894690,0.0000000,0.0000000,0.0000000
1427962895172,0.0000000,0.0000000,0.0000000
1427962895489,0.0000000,0.0000000,0.0000000
1427962895889,0.0000000,0.0000000,0.0000000
1427962896290,0.0000000,0.0000000,0.0000000
1427962896690,0.0000000,0.0000000,0.0000000
1427962897089,0.0000000,0.0000000,0.0000000
1427962897489,0.0000000,0.0000000,0.0000000
1427962897893,0.0000000,0.0000000,0.0000000
1427962898288,0.0000000,0.0000000,0.0000000
1427962898689,0.0000000,0.0000000,0.0000000
1427962899090,0.0000000,0.0000000,0.0000000
1427962899490,0.0000000,0.0000000,0.0000000
1427962899898,0.0000000,0.0000000,0.0000000
1427962900290,0.0000000,0.0000000,0.0000000
1427962900689,0.0000000,0.0000000,0.0000000
1427962901089,0.0000000,0.0000000,0.0000000
1427962901489,0.0000000,0.0000000,0.0000000
1427962901889,0.0000000,0.0000000,0.0000000
1427962902292,0.0000000,0.0000000,0.0000000
1427962902689,0.0000000,0.0000000,0.0000000
1427962903090,0.0000000,0.0000000,0.0000000
1427962903489,0.0000000,0.0000000,0.0000000
1427962903943,0.0000000,0.0000000,0.0000000
1427962904291,0.0000000,0.0000000,0.0000000
1427962904690,0.0000000,0.0000000,0.0000000
1427962905089,0.0000000,0.0000000,0.0000000
1427962905490,0.0000000,0.0000000,0.0000000
1427962905890,0.0000000,0.0000000,0.0000000
1427962906290,0.0000000,0.0000000,0.0000000
1427962906711,0.0000000,0.0000000,0.0000000
1427962907148,0.0000000,0.0000000,0.0000000
1427962907489,0.0000000,0.0000000,0.0000000
1427962907890,0.0000000,0.0000000,0.0000000
1427962908289,0.0000000,0.0000000,0.0000000
1427962908689,0.0000000,0.0000000,0.0000000
1427962909092,0.0000000,0.0000000,0.0000000
1427962909489,0.0000000,0.0000000,0.0000000
1427962909889,0.0000000,0.0000000,0.0000000
1427962910290,0.0000000,0.0000000,0.0000000
1427962910690,0.0000000,0.0000000,0.0000000
1427962911089,0.0000000,0.0000000,0.0000000
1427962911491,0.0000000,0.0000000,0.0000000
1427962911889,0.0000000,0.0000000,0.0000000
1427962912290,0.0000000,0.0000000,0.0000000
1427962912691,0.0000000,0.0000000,0.0000000
1427962913089,0.0000000,0.0000000,0.0000000
1427962913489,0.0000000,0.0000000,0.0000000
1427962913890,0.0000000,0.0000000,0.0000000
1427962914290,0.0000000,0.0000000,0.0000000
1427962914690,0.0000000,0.0000000,0.0000000
1427962915090,0.0000000,0.0000000,0.0000000
1427962915490,0.0000000,0.0000000,0.0000000
1427962915925,0.0000000,0.0000000,0.0000000
1427962916291,0.0000000,0.0000000,0.0000000
1427962916688,0.0000000,0.0000000,0.0000000
1427962917089,0.0000000,0.0000000,0.0000000
1427962917491,0.0000000,0.0000000,0.0000000
1427962917890,0.0000000,0.0000000,0.0000000
1427962918291,0.0000000,0.0000000,0.0000000
1427962918689,0.0000000,0.0000000,0.0000000
1427962919089,0.0000000,0.0000000,0.0000000
1427962919490,0.0000000,0.0000000,0.0000000
1427962919889,0.0000000,0.0000000,0.0000000
1427962920298,0.0000000,0.0000000,0.0000000
1427962920690,0.0000000,0.0000000,0.0000000
1427962921089,0.0000000,0.0000000,0.0000000
1427962921489,0.0000000,0.0000000,0.0000000
1427962921908,0.0000000,0.0000000,0.0000000
1427962922295,0.0000000,0.0000000,0.0000000
1427962922688,0.0000000,0.0000000,0.0000000
1427962923088,0.0000000,0.0000000,0.0000000
1427962923492,0.0000000,0.0000000,0.0000000
1427962923890,0.0000000,0.0000000,0.0000000
1427962924290,0.0000000,0.0000000,0.0000000
1427962924689,0.0000000,0.0000000,0.0000000
1427962925098,0.0000000,0.0000000,0.0000000
1427962925491,0.0000000,0.0000000,0.0000000
1427962925889,0.0000000,0.0000000,0.0000000
1427962926291,0.0000000,0.0000000,0.0000000
1427962926690,0.0000000,0.0000000,0.0000000
1427962927088,0.0000000,0.0000000,0.0000000
1427962927491,0.0000000,0.0000000,0.0000000
1427962927891,0.0000000,0.0000000,0.0000000
1427962928297,0.0000000,0.0000000,0.0000000
1427962928691,0.0000000,0.0000000,0.0000000
1427962929089,0.0000000,0.0000000,0.0000000
1427962929489,0.0000000,0.0000000,0.0000000
1427962929889,0.0000000,0.0000000,0.0000000
1427962930290,0.0000000,0.0000000,0.0000000
1427962930689,0.0000000,0.0000000,0.0000000
1427962931089,0.0000000,0.0000000,0.0000000
1427962931499,0.0000000,0.0000000,0.0000000
1427962931889,0.0000000,0.0000000,0.0000000
1427962932292,0.0000000,0.0000000,0.0000000
1427962932688,0.0000000,0.0000000,0.0000000
1427962933092,0.0000000,0.0000000,0.0000000
1427962933489,0.0000000,0.0000000,0.0000000
1427962933890,0.0000000,0.0000000,0.0000000
1427962934292,0.0000000,0.0000000,0.0000000
1427962934691,0.0000000,0.0000000,0.0000000
1427962935092,0.0000000,0.0000000,0.0000000
1427962935490,0.0000000,0.0000000,0.0000000
1427962935889,0.0000000,0.0000000,0.0000000
1427962936290,0.0000000,0.0000000,0.0000000
1427962936689,0.0000000,0.0000000,0.0000000
1427962937089,0.0000000,0.0000000,0.0000000
1427962937490,0.0000000,0.0000000,0.0000000
1427962937890,0.0000000,0.0000000,0.0000000
1427962938290,0.0000000,0.0000000,0.0000000
1427962938690,0.0000000,0.0000000,0.0000000
1427962939124,0.0000000,0.0000000,0.0000000
1427962939489,0.0000000,0.0000000,0.0000000
1427962939888,0.0000000,0.0000000,0.0000000
1427962940288,0.0000000,0.0000000,0.0000000
1427962940689,0.0000000,0.0000000,0.0000000
1427962941089,0.0000000,0.0000000,0.0000000
1427962941490,0.0000000,0.0000000,0.0000000
1427962941889,0.0000000,0.0000000,0.0000000
1427962942348,0.0000000,0.0000000,0.0000000
1427962942689,0.0000000,0.0000000,0.0000000
1427962943089,0.0000000,0.0000000,0.0000000
1427962943488,0.0000000,0.0000000,0.0000000
1427962943889,0.0000000,0.0000000,0.0000000
1427962944289,0.0000000,0.0000000,0.0000000
1427962944689,0.0000000,0.0000000,0.0000000
1427962945091,0.0000000,0.0000000,0.0000000
1427962945489,0.0000000,0.0000000,0.0000000
1427962945889,0.0000000,0.0000000,0.0000000
1427962946290,0.0000000,0.0000000,0.0000000
1427962946734,0.0000000,0.0000000,0.0000000
1427962947090,0.0000000,0.0000000,0.0000000
